Publication_code,Author,Year,Title,Comparison_identifier,Animal,Strain,Sex,Comorbidity,Comorbidity_induction,Age_weeks_min,Age_weeks_mean,Age_weeks_max,Weight_g_min,Weight_g_mean,Weight_g_max,N_control_groups,N_animals_control,N_treatment_groups,N_animals_treatment,N_treatment_to_control,Effective_n_control,Primary_anaesthetic,Secondary_anaesthetic,Surgical_level,Brain_area,RB_dose,RB_dose_units,RB_dose_mgkg,Light_intensity,Light_intensity_units,Light_intensity_Wcm2,Light_type,Light_source,Light_wavelength,Light_aperture,Light_time,Treatment,Treatment_class,Treatment_dose,Treatment_dose_units,Treatment_initial_hour,Treatment_time_class,Infarct_time,Infarct_measurement,Infarct_mean_control,Infarct_error_control,Infarct_mean_treatment,Infarct_error_treatment,Infarct_diff_from_control,Infarct_diff_from_control_error,Infarct_units,Infarct_error_units,Infarct_percent_control,Infarct_percent_treatment,Infarct_SD_control,Infarct_SD_control_percent,Infarct_SD_treatment,Scale_type,Scale_score_control,Scale_error_control,Scale_score_treatment,Scale_error_treatment,Scale_error_units,Scale_time,Multiple_timepoints,Multiple_doses
Hwang_2018,"Hwang, S. A.",2018,Caffeic acid phenethyl ester protects against photothrombotic cortical ischemic injury in mice,a,Mouse,C57BL/6,Male,None,NA,NR,NR,NR,20,22.5,25,1,4,4,4,4,1,Chloral hydrate,NA,"Scalp retracted, skull intact",NR,10,mg/ml,44.44444444,NR,NA,NA,LCD,NR,NR,4,15,CAPE (caffeic acid phenethyl ester),Anti-inflammation,10,mg/kg,1,After stroke,24,TTC (ex vivo),63.15,4.67,17.26,6.7,NA,NA,mm3,SEM,12.40887387,3.391562359,9.34,1.835295042,13.4,None,NA,NA,NA,NA,NA,NA,No,Yes
Igarashi_2011,"Igarashi, K.",2011,Use of polyamine metabolites as markers for stroke and renal failure,a,Mouse,C57BL/6,Male,None,NA,NR,8,NR,22,24,26,1,10,0,NA,NA,NA,Isoflurane,NA,"Scalp retracted, skull intact",Middle cerebral artery (MCA),20,mg/kg,20,NR,NA,NA,Xenon lamp,Xenon,540,NR,10,None,NA,NA,NA,NA,NA,24,TTC (ex vivo),23.3,1.4,NA,NA,NA,NA,mm3,SD,4.578412686,NA,1.4,0.275097758,NA,None,NA,NA,NA,NA,NA,NA,No,No
Ikeda_2013_a,"Ikeda, S.",2013,"Effects of edaravone, a free radical scavenger, on photochemically induced cerebral infarction in a rat hemiplegic model",a,Rat,Wistar,NR,None,NA,NR,NR,NR,250,275,300,1,18,1,18,1,18,Isoflurane,NA,"Scalp retracted, skull intact",Sensorimotor cortex,20,mg/kg,20,NR,NA,NA,NR,NR,533,10,NR,Edaravone (MCI-186),Anti-oxidants,3,mg/kg,NR,After stroke,168,Other histology (ex vivo),33.3,2.66,17.4,1.39,NA,NA,mm2,SEM,NA,NA,11.28542423,NA,5.897270555,BWS - Feeney Beam Walking Score,2.45,0.32,4.2,0.29,SEM,24,Yes,No
Ikeda_2013_b,"Ikeda, S.",2013,Contralateral cortical role on functional recovery in a rat model of hemiplegia,a,Rat,Wistar,Male,None,NA,NR,8,NR,250,275,300,1,10,0,NA,NA,NA,NR,NA,"Scalp retracted, skull intact",Sensorimotor cortex,20,mg/kg,20,NR,NA,NA,NR,NR,533,10,20,None,NA,NA,NA,NA,NA,672,Other histology (ex vivo),39.9,3.3,NA,NA,NA,NA,mm2,SEM,NA,NA,10.43551628,NA,NA,BWS - Feeney Beam Walking Score,1.69,0.24,NA,NA,SEM,120,Yes,No
Ikeda_2013_c,"Ikeda, S.",2013,Expected for acquisition movement exercise is more effective for functional recovery than simple exercise in a rat model of hemiplegia,a,Rat,Wistar,Male,None,NA,NR,8,NR,NR,NR,NR,1,8,2,8,2,4,Sodium Pentobarbital,NA,"Scalp retracted, skull intact",Sensorimotor cortex,20,mg/kg,20,NR,NA,NA,Fibre-optic,NR,533,10,20,Beam walking exercise,Other,20,minutes/day,NR,After stroke,336,Other histology (ex vivo),35.1,2.12,37.1,3.16,NA,NA,mm2,SD,NA,NA,2.12,NA,3.16,BWS - Feeney Beam Walking Score,2.38,0.26,6.51,0.19,SD,120,Yes,Yes
Ikeda_2005,"Ikeda, Y.",2005,"Neuroprotective effects of KCL-440, a new poly(ADP-ribose) polymerase inhibitor, in the rat middle cerebral artery occlusion model",a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,260,290,320,1,8,6,5,6,1.333333333,NR,NA,Skull breached,Middle cerebral artery (MCA),20,mg/kg,20,NR,NA,NA,Xenon lamp,Xenon,540,3,10,KCL-440,Anti-inflammation,3,mg/kg/h,0,After stroke,24,TTC (ex vivo),44.76,3.12,31.17,1.87,NA,NA,Direct rLV % hemisphere,SE,22.38,15.585,8.824692629,4.412346315,4.181447118,Bederson Scale,0.5,0.5,1,0,SD,24,Yes,Yes
Imura_1995,"Imura, Y.",1995,"Beneficial effect of CV-4151 (Isbogrel), a thromboxane A2 synthase inhibitor, in a rat middle cerebral artery thrombosis model",a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,300,350,400,1,5,1,5,1,5,Sodium Pentobarbital,NA,Skull breached,Middle cerebral artery (MCA),10,mg/kg,10,500000,lux,0.073205,Xenon lamp,Xenon,540,3,4,CV-4151,Thrombolytics,10,mg/kg,-1.5,Before stroke,24,MRI (in vivo),308,19,192,12,NA,NA,mm3,SEM,15.62658549,9.741248097,42.48529157,2.155519613,26.83281573,None,NA,NA,NA,NA,NA,NA,No,Yes
Inui_2013,"Inui, T.",2013,Neuroprotective effect of ceftriaxone on the penumbra in a rat venous ischemia model,a,Rat,Wistar,Male,None,NA,NR,NR,NR,260,300,340,1,9,4,10,4,2.25,Chloral hydrate,NA,Skull breached,Cerebral cortex,50,mg/kg,50,50,W,NA,Mercury lamp,Mercury,540,0.1,NR,CTX (Ceftriaxone antibiotic),Energy substrates,200,mg/kg,-120,Before stroke,48,Other histology (ex vivo),8.84,1.94,6.44,0.95,NA,NA,mm3,SEM,0.448503298,0.326737697,5.82,0.295281583,3.004163777,None,NA,NA,NA,NA,NA,NA,No,Yes
Ishikawa_2009,"Ishikawa, E.",2009,Midkine gene transfer protects against focal brain ischemia and augments neurogenesis,a,Rat,Spontaneously Hypertensive Rat (SHR),Male,Hypertension,Genetic,20,26,32,360,400,440,1,6,1,6,1,6,Nitrous oxide,Halothane,Skull breached,Distal middle cerebral artery (dMCA),20,mg/kg,20,20,mW,NA,Krypton laser,Krypton laser,568,3,4,AdMK (Adenovirus vectors encoding mouse midkine),Anti-apoptosis/regeneration,30,uL,90,After stroke,168,Other histology (ex vivo),87.8,23.8,58.5,18,NA,NA,mm3,SD,4.454591578,2.96803653,23.8,1.207508879,18,None,NA,NA,NA,NA,NA,NA,No,No
Ito_2010,"Ito, H.",2010,"Cilostazol, a phosphodiesterase inhibitor, attenuates photothrombotic focal ischemic brain injury in hypertensive rats",a,Rat,Spontaneously Hypertensive Rat (SHR),Male,Hypertension,Genetic,NR,20,NR,313,346,379,2,13,6,13,3,4.333333333,Nitrous oxide,Halothane,Skull breached,Distal middle cerebral artery (dMCA),20,mg/kg,20,20,mW,NA,Krypton laser,Krypton laser,568,3,4,Cilostazol,Thrombolytics,100,mg/kg,0.5,After stroke,24,TTC (ex vivo),102,28,67,33,NA,NA,mm3,SD,5.175038052,3.399289701,28,1.420598681,33,None,NA,NA,NA,NA,NA,NA,No,Yes
Ito_2010,"Ito, H.",2010,"Cilostazol, a phosphodiesterase inhibitor, attenuates photothrombotic focal ischemic brain injury in hypertensive rats",b,Rat,Spontaneously Hypertensive Rat (SHR),Male,Hypertension,Genetic,NR,20,NR,313,346,379,2,10,6,10,3,3.333333333,Nitrous oxide,Halothane,Skull breached,Distal middle cerebral artery (dMCA),20,mg/kg,20,20,mW,NA,Krypton laser,Krypton laser,568,3,4,Aspirin,Thrombolytics,10,mg/kg,-2,Before stroke,24,TTC (ex vivo),17.09,3.01,16.26,3.54,NA,NA,mm2,SD,NA,NA,3.01,NA,3.54,None,NA,NA,NA,NA,NA,NA,No,Yes
Ito_2010,"Ito, H.",2010,"Cilostazol, a phosphodiesterase inhibitor, attenuates photothrombotic focal ischemic brain injury in hypertensive rats",c,Rat,Spontaneously Hypertensive Rat (SHR),Male,Hypertension,Genetic,NR,20,NR,313,346,379,2,10,6,10,3,3.333333333,Nitrous oxide,Halothane,Skull breached,Distal middle cerebral artery (dMCA),20,mg/kg,20,20,mW,NA,Krypton laser,Krypton laser,568,3,4,Clopidogrel,Thrombolytics,3,mg/kg,-2,Before stroke,24,TTC (ex vivo),17.09,3.01,15.58,4.56,NA,NA,mm2,SD,NA,NA,3.01,NA,4.56,None,NA,NA,NA,NA,NA,NA,No,Yes
Iwashita_2003,"Iwashita, A.",2003,"A novel potent radical scavenger, 8-(4-fluorophenyl)-2-((2E)-3-phenyl-2-propenoyl)-1,2,3,4-tetrahydropyrazolo[5,1-c ] [1,2,4]triazine (FR210575), prevents neuronal cell death in cultured primary neurons and attenuates brain injury after focal ischemia in rats",a,Rat,Wistar,Male,None,NA,8,9,10,274,327,380,1,9,2,7,2,4.5,Halothane,NA,Skull breached,Middle cerebral artery (MCA),10,mg/kg,10,NR,NA,NA,Xenon lamp,Xenon,540,3,10,FR210575,Anti-oxidants,1.07,mg/kg/h,0,During stroke,24,TTC (ex vivo),15.793,4.46,10.78,1.11,-36,NA,mm3,SEM,0.801268392,0.546930492,13.38,0.678843227,2.936783955,None,NA,NA,NA,NA,NA,NA,No,Yes
Jablonka_2012,"Jablonka, J. A.",2012,Experience-dependent brain plasticity after stroke: effect of ibuprofen and poststroke delay,a,Rat,Wistar,Male,None,NA,NR,NR,NR,NR,230,NR,1,7,NR,NR,NA,NA,Isoflurane,NA,"Scalp retracted, skull intact",NR,10,mg/kg,10,NR,NA,NA,Cold light,NR,NR,1.5,20,Ibuprofen,Anti-inflammation,NR,NA,NR,NA,720,Other histology (ex vivo),0.8,0.3,0.6,0.3,NA,NA,mm3,SD,0.040588534,0.0304414,0.3,0.0152207,NA,None,NA,NA,NA,NA,NA,NA,No,Yes
Jablonka_2006,"Jablonka, J.",2006,Focal stroke in the barrel cortex of rats enhances ipsilateral response to vibrissal input,a,Rat,Wistar,Male,None,NA,NR,NR,NR,NR,230,NR,1,5,0,NA,NA,NA,Isoflurane,NA,Skull thinned,Barrel field,10,mg/ml,NA,NR,NA,NA,Fibre-optic,NR,NR,3,20,None,NA,NA,NA,NA,NA,168,Other histology (ex vivo),3.5,NR,NA,NA,NA,NA,mm2,NR,NA,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,No,No
Jadavji_2018,"Jadavji, N. M.",2018,A genetic deficiency in folic acid metabolism impairs recovery after ischemic stroke,a,Mouse,Mthfr+/+ (C57BL/6 variant),Male,None,NA,NR,84,NR,NR,NR,NR,2,17,0,NA,NA,NA,Nitrous oxide,Isoflurane,"Scalp retracted, skull intact",Sensorimotor cortex,10,mg/kg,10,NR,NA,NA,NR,NR,532,NR,15,None,NA,NA,NA,NA,NA,1344,Other histology (ex vivo),0.21,0.09,NA,NA,NA,NA,mm3,SEM,0.041264664,NA,0.371079506,0.072916529,NA,None,NA,NA,NA,NA,NA,NA,No,No
Jadavji_2018,"Jadavji, N. M.",2018,A genetic deficiency in folic acid metabolism impairs recovery after ischemic stroke,b,Mouse,Mthfr+/- (C57BL/6 variant),Male,None,NA,NR,84,NR,NR,NR,NR,2,16,0,NA,NA,NA,Nitrous oxide,Isoflurane,"Scalp retracted, skull intact",Sensorimotor cortex,10,mg/kg,10,NR,NA,NA,NR,NR,532,NR,15,None,NA,NA,NA,NA,NA,1344,Other histology (ex vivo),0.29,0.15,NA,NA,NA,NA,mm3,SEM,0.056984536,NA,0.6,0.117899039,NA,None,NA,NA,NA,NA,NA,NA,No,No
Jang_2014,"Jang, J. Y.",2014,Neuroprotective effects of a novel single compound 1-methoxyoctadecan-1-ol isolated from Uncaria sinensis in primary cortical neurons and a photothrombotic ischemia model,a,Mouse,C57BL/6,Male,None,NA,NR,6,NR,20,22.5,25,1,9,2,9,2,4.5,Isoflurane,NA,"Scalp retracted, skull intact",NR,1,mg,44.44444444,75,NR,NA,LED,LED,NR,4,15,1-methoxyoctadecan-1-ol,Anti-apoptosis/regeneration,3,mg/kg,-0.5,Before stroke,24,TTC (ex vivo),55.6,5.36,31.13,7.08,NA,NA,mm3,SEM,10.92531096,6.116995146,16.08,3.159694248,21.24,0-4 limb scale,1.22,0.15,0.1,0.1,SEM,24,No,Yes
Jiao_2017,"Jiao, C. X.",2017,Protective efficacy of a single salvianolic acid A treatment on photothrombosis-induced sustained spatial memory impairments,a,Rat,Sprague-Dawley,Male,None,NA,12,13,14,300,325,350,2,9,2,9,1,9,Sodium Pentobarbital,NA,"Scalp retracted, skull intact",Frontal cortex,20,mg/kg,20,NR,NA,NA,Cold light,NR,NR,4,15,SAA (Salvianolic acid A),Nootropics/cognition,2,mg/kg,0.17,After stroke,240,Other histology (ex vivo),23.56,2.14,15.7,2.91,NA,NA,mm3,SEM,1.195332319,0.796549975,6.42,0.325722983,8.73,None,NA,NA,NA,NA,NA,NA,Yes,No
Jin_2017,"Jin, H. J.",2017,Alleviative effects of fluoxetine on depressive-like behaviors by epigenetic regulation of BDNF gene transcription in mouse model of post-stroke depression,a,Mouse,C57BL/6,Male,None,NA,NR,12,NR,NR,NR,NR,1,18,0,NA,NA,NA,Chloral hydrate,NA,"Scalp retracted, skull intact",Anterior cerebral cortex,150,mg/kg,150,150,W,NA,LCD,NR,560,1.5,15,None,NA,NA,NA,NA,NA,1344,TTC (ex vivo),4.22,0.41,NA,NA,NA,NA,mm3,SEM,0.829223242,NA,1.739482682,0.341805561,NA,mNSS,5.06,0.92,NA,NA,SEM,24,Yes,No
Jin_2010,"Jin, Z.",2010,The effect of stress on stroke recovery in a photothrombotic stroke animal model,a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,200,225,250,1,15,1,15,1,15,Ketamine,Xylazine,"Scalp retracted, skull intact",Motor cortex,20,mg/kg,20,NR,NA,NA,Cold light,NR,NR,4,20,Stress (restraint),Other,10,Hours,24,After stroke,144,TTC (ex vivo),6.8,1,12.6,2,NA,NA,Indirect rLV % hemisphere,SD,3.4,6.3,1,0.5,2,None,NA,NA,NA,NA,NA,NA,No,No
Jolkkonen_2007,"Jolkkonen, J.",2007,Subacute hemorrhage and resolution of edema in Rose Bengal stroke model in rats coincides with improved sensorimotor functions,a,Rat,Wistar,Male,None,NA,12,14,16,NR,NR,NR,1,16,0,NA,NA,NA,Nitrous oxide,Halothane,"Scalp retracted, skull intact",Motor cortex,20,mg/kg,20,NR,NA,NA,Cold light,NR,NR,4,10,None,NA,NA,NA,NA,NA,48,MRI (in vivo),49.97,2.83,NA,NA,NA,NA,mm3,NR,2.535261289,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,Yes,No
Kaido_2003,"Kaido, T.",2003,Novel complement C1 inhibitor BSF468248 does not improve brain damage after cortical vein occlusion,a,Rat,Wistar,Male,None,NA,NR,NR,NR,278,345.7,430,2,5,2,5,1,5,Ether,Atropine,Skull breached,Cerebral cortex,50,mg/kg,50,50,W,NA,Mercury lamp,Mercury,540,NR,10,BSF468248,Anti-inflammation,12,mg/g,0,During stroke,168,Other histology (ex vivo),1.76,0.31,2.27,0.43,NA,NA,mm3,SEM,0.089294774,0.115169964,0.693181073,0.035169004,0.96150923,None,NA,NA,NA,NA,NA,NA,No,Yes
Kaku_1997,"Kaku, S.",1997,"Evaluation of the disintegrin, triflavin, in a rat middle cerebral artery thrombosis model",a,Rat,Wistar,Male,None,NA,NR,NR,NR,220,245,270,1,8,3,8,3,2.666666667,Halothane,NA,Skull breached,Middle cerebral artery (MCA),7.5,mg/kg,7.5,NR,NA,NA,Xenon lamp,Xenon,540,3,10,Triflavin,Thrombolytics,1,mg/kg,0,During stroke,24,TTC (ex vivo),12.6,1.68,3.58,2.08,NA,NA,Direct rLV % hemisphere,SEM,6.3,1.79,4.75175757,2.375878785,5.883128419,None,NA,NA,NA,NA,NA,NA,No,Yes
Kaku_1998,"Kaku, S.",1998,Evaluation of a GPIIb/IIIa antagonist YM337 in a primate model of middle cerebral artery thrombosis,a,Primate,Squirrel monkey (Saimiri sciureus),NR,None,NA,NR,NR,NR,535,725,915,1,5,4,5,4,1.25,Ketamine,Halothane,Skull breached,Middle cerebral artery (MCA),20,mg/kg,20,NR,NA,NA,Xenon lamp,Xenon,540,3,20,YM337,Thrombolytics,1,mg/kg,-0.25,Before stroke,24,Other histology (ex vivo),23.44,4.88,9.82,1.65,NA,NA,Direct rLV % hemisphere,SEM,11.72,4.91,10.91201173,5.456005865,3.689512163,Five-point scale (Crowell et al. 1970),2.2,0.98,0.2,0.4,SD,24,No,Yes
Kaku_1998,"Kaku, S.",1998,Evaluation of a GPIIb/IIIa antagonist YM337 in a primate model of middle cerebral artery thrombosis,b,Primate,Squirrel monkey (Saimiri sciureus),NR,None,NA,NR,NR,NR,535,725,915,1,5,4,5,4,1.25,Ketamine,Halothane,Skull breached,Middle cerebral artery (MCA),20,mg/kg,20,NR,NA,NA,Xenon lamp,Xenon,540,3,20,Ozagrel Sodium,Thrombolytics,10,mg/kg,-0.25,Before stroke,24,Other histology (ex vivo),23.44,4.88,14.59,2.89,NA,NA,Direct rLV % hemisphere,SEM,11.72,7.295,10.91201173,5.456005865,6.462236455,Five-point scale (Crowell et al. 1970),2.2,0.98,0.8,0.4,SD,24,No,Yes
Kang_2015_a,"Kang, B. K.",2015,Anti-Neuroinflammatory Effects of Uncaria sinensis in LPS-Stimulated BV2 Microglia Cells and Focal Cerebral Ischemic Mice,a,Mouse,C57BL/6,Male,None,NA,NR,NR,NR,20,22.5,25,1,9,2,9,2,4.5,Nitrous oxide,Isoflurane,"Scalp retracted, skull intact",NR,10,mg/ml,44.44444444,NR,NA,NA,LCD,NR,NR,4,15,HEUS (Hexane extracts of Uncaria sinensis),Blood flow,100,mg/kg,-0.5,Before stroke,48,TTC (ex vivo),61.23,6.14,41.5,2.65,NA,NA,mm3,SEM,12.03159694,8.154683539,18.42,3.619500501,7.95,0-4 limb scale,0.83,0.17,0.17,0.17,SEM,48,No,Yes
Kang_2013,"Kang, C.",2013,The effect of continuous epidural electrical stimulation on neuronal proliferation in cerebral ischemic rats,a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,250,275,300,1,9,1,10,1,6,Ketamine,Xylazine,Other,Motor cortex,20,mg/kg,20,1,W/cm2,1,Halogen lamp,Halogen,NR,4,16,ES (electrical stimulation),Other,50,Hz,NR,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0-4 limb scale,3.27,NR,3.81,NR,NR,48,Yes,No
Kang_2015_b,"Kang, H. M.",2015,Use of indocyanine green for optical analysis of cortical infarcts in photothrombotic ischemic brains,a,Mouse,C57BL/6,Male,None,NA,NR,NR,NR,NR,NR,NR,3,4,0,NA,NA,NA,Zoletil,Xylazine,"Scalp retracted, skull intact",NR,0.1,mL/25g,NA,150,W,NA,LCD,NR,NR,3,3,None,NA,NA,NA,NA,NA,24,TTC (ex vivo),16.18,1.24,NA,NA,NA,NA,mm2,SEM,NA,NA,2.48,NA,NA,None,NA,NA,NA,NA,NA,NA,Yes,No
Kao_2014,"Kao, Y. C",2014,Dynamic perfusion and diffusion MRI of cortical spreading depolarization in photothrombotic ischemia,a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,250,325,400,5,6,0,NA,NA,NA,Ketamine,Xylazine,Skull breached,Primary forelimb somatosensory cortex (S1FL),10,mg/kg,10,10,mW,NA,Green laser,Diode-pumped solid state laser,532,0.2,10,None,NA,NA,NA,NA,NA,24,MRI (in vivo),13.5,2.08,NA,NA,NA,NA,mm3,SD,0.684931507,NA,2.08,0.105530188,NA,None,NA,NA,NA,NA,NA,NA,Yes,No
Kao_2014,"Kao, Y. C",2014,Dynamic perfusion and diffusion MRI of cortical spreading depolarization in photothrombotic ischemia,b,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,250,325,400,5,6,0,NA,NA,NA,Ketamine,Xylazine,Skull breached,Primary forelimb somatosensory cortex (S1FL),20,mg/kg,20,10,mW,NA,Green laser,Diode-pumped solid state laser,532,0.2,10,None,NA,NA,NA,NA,NA,24,MRI (in vivo),38.97,6.16,NA,NA,NA,NA,mm3,SD,1.97716895,NA,6.16,0.31253171,NA,None,NA,NA,NA,NA,NA,NA,Yes,No
Kao_2014,"Kao, Y. C",2014,Dynamic perfusion and diffusion MRI of cortical spreading depolarization in photothrombotic ischemia,c,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,250,325,400,5,5,0,NA,NA,NA,Ketamine,Xylazine,Skull breached,Primary forelimb somatosensory cortex (S1FL),10,mg/kg,10,20,mW,NA,Green laser,Diode-pumped solid state laser,532,0.2,10,None,NA,NA,NA,NA,NA,24,MRI (in vivo),36.32,8.34,NA,NA,NA,NA,mm3,SD,1.842719432,NA,8.34,0.423135464,NA,None,NA,NA,NA,NA,NA,NA,Yes,No
Kao_2014,"Kao, Y. C",2014,Dynamic perfusion and diffusion MRI of cortical spreading depolarization in photothrombotic ischemia,d,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,250,325,400,5,5,0,NA,NA,NA,Ketamine,Xylazine,Skull breached,Primary forelimb somatosensory cortex (S1FL),10,mg/kg,10,30,mW,NA,Green laser,Diode-pumped solid state laser,532,0.2,10,None,NA,NA,NA,NA,NA,24,MRI (in vivo),47.59,5.78,NA,NA,NA,NA,mm3,SD,2.414510401,NA,5.78,0.293252156,NA,None,NA,NA,NA,NA,NA,NA,Yes,No
Kao_2014,"Kao, Y. C",2014,Dynamic perfusion and diffusion MRI of cortical spreading depolarization in photothrombotic ischemia,e,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,250,325,400,5,6,0,NA,NA,NA,Ketamine,Xylazine,Skull breached,Primary forelimb somatosensory cortex (S1FL),10,mg/kg,10,10,mW,NA,Green laser,Diode-pumped solid state laser,532,0.2,20,None,NA,NA,NA,NA,NA,24,MRI (in vivo),16.81,2.65,NA,NA,NA,NA,mm3,SD,0.852866565,NA,2.65,0.134449518,NA,None,NA,NA,NA,NA,NA,NA,Yes,No
Karasawa_2002,"Karasawa, Y.",2002,Effect of TTC-909 in a middle cerebral artery thrombosis model in stroke-prone spontaneously hypertensive rats,a,Rat,Wistar,Male,None,NA,NR,11,NR,NR,NR,NR,2,10,0,NA,NA,NA,Halothane,NA,Skull breached,Middle cerebral artery (MCA),20,mg/kg,20,NR,NA,NA,Xenon lamp,Xenon,540,NR,10,None,NA,NA,NA,NA,NA,24,Other histology (ex vivo),51.3,5.2,NA,NA,NA,NA,mm3,NR,2.602739726,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,No,No
Karasawa_2002,"Karasawa, Y.",2002,Effect of TTC-909 in a middle cerebral artery thrombosis model in stroke-prone spontaneously hypertensive rats,b,Rat,Stroke-prone SHR (Spontaneously Hypertensive Rat),Male,Hypertension,Genetic,10,11,12,NR,NR,NR,2,10,0,NA,NA,NA,Halothane,NA,Skull breached,Middle cerebral artery (MCA),20,mg/kg,20,NR,NA,NA,Xenon lamp,Xenon,540,NR,10,None,NA,NA,NA,NA,NA,24,Other histology (ex vivo),136,7.8,NA,NA,NA,NA,mm3,NR,6.900050736,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,No,No
Karasawa_2002,"Karasawa, Y.",2002,Effect of TTC-909 in a middle cerebral artery thrombosis model in stroke-prone spontaneously hypertensive rats,c,Rat,Stroke-prone SHR (Spontaneously Hypertensive Rat),Male,Hypertension,Genetic,10,11,12,NR,NR,NR,1,13,3,13,3,4.333333333,Halothane,NA,Skull breached,Middle cerebral artery (MCA),20,mg/kg,20,NR,NA,NA,Xenon lamp,Xenon,540,NR,10,TTC-909,Thrombolytics,2700,ng/kg,0,During stroke,24,Other histology (ex vivo),116.2,7.8,88.6,8.6,NA,NA,mm3,NR,5.895484526,4.495180112,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,No,Yes
Karasawa_2002,"Karasawa, Y.",2002,Effect of TTC-909 in a middle cerebral artery thrombosis model in stroke-prone spontaneously hypertensive rats,d,Rat,Stroke-prone SHR (Spontaneously Hypertensive Rat),Male,Hypertension,Genetic,10,11,12,NR,NR,NR,1,15,3,15,3,5,Halothane,NA,Skull breached,Middle cerebral artery (MCA),20,mg/kg,20,NR,NA,NA,Xenon lamp,Xenon,540,NR,10,Ozagrel Sodium,Thrombolytics,27,mg/kg,0,During stroke,24,Other histology (ex vivo),114.4,6,67.9,10.2,NA,NA,mm3,NR,5.804160325,3.444951801,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,No,Yes
Karetko-Sysa_2011,"Karetko-Sysa, M.",2011,Disturbance of perineuronal nets in the perilesional area after photothrombosis is not associated with neuronal death,a,Rat,Wistar,Male,None,NA,NR,12,NR,260,270,280,5,5,0,NA,NA,NA,Isoflurane,NA,"Scalp retracted, skull intact",NR,10,mg/ml,14.81481481,2750,K,NA,LCD,NR,560,1.5,20,None,NA,NA,NA,NA,NA,1,Other histology (ex vivo),17.98,1.27,NA,NA,NA,NA,mm3,NR,0.912227296,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,Yes,No
Karlsson_2018,"Karlsson, L.",2018,Constitutive PGC-1alpha Overexpression in Skeletal Muscle Does Not Improve Morphological Outcome in Mouse Models of Brain Irradiation or Cortical Stroke,a,Mouse,C57BL/6,Male,None,NA,NR,12,NR,NR,NR,NR,2,7,0,NA,NA,NA,Isoflurane,NA,"Scalp retracted, skull intact",Cerebral cortex,10,mg/ml,NA,50,mW,NA,NR,NR,561,NR,10,None,NA,NA,NA,NA,NA,96,Other histology (ex vivo),0.61,0.1,NA,NA,NA,NA,mm3,SEM,0.119864023,NA,0.264575131,0.05198859,NA,None,NA,NA,NA,NA,NA,NA,No,No
Karlsson_2018,"Karlsson, L.",2018,Constitutive PGC-1alpha Overexpression in Skeletal Muscle Does Not Improve Morphological Outcome in Mouse Models of Brain Irradiation or Cortical Stroke,b,Mouse,MCK-PGC-1alpha,Male,None,NA,NR,12,NR,NR,NR,NR,2,6,0,NA,NA,NA,Isoflurane,NA,"Scalp retracted, skull intact",Cerebral cortex,10,mg/ml,NA,50,mW,NA,NR,NR,561,NR,10,None,NA,NA,NA,NA,NA,96,Other histology (ex vivo),0.96,0.07,NA,NA,NA,NA,mm3,SEM,0.188638463,NA,0.171464282,0.033692457,NA,None,NA,NA,NA,NA,NA,NA,No,No
Kawaguchi_2007,"Kawaguchi, A. T.",2007,Liposome-encapsulated hemoglobin reduces the size of cerebral infarction in the rat: evaluation with photochemically induced thrombosis of the middle cerebral artery,a,Rat,Sprague-Dawley,Male,None,NA,10,11,12,270,283,300,2,6,2,7,1,6,Halothane,NA,Skull breached,Middle cerebral artery (MCA),20,mg/kg,20,NR,NA,NA,Xenon lamp,Xenon,540,3,10,LEH (TRM-645),Energy substrates,10,ml/kg,0,During stroke,24,TTC (ex vivo),12.91,2.35,10,1.35,NA,NA,Direct rLV % whole brain,NR,12.91,10,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,No,Yes
